date,item,news,result
2025-03-25,포스코퓨처엠,"엄기천 포스코퓨처엠 사장, 완성차 제조사들의 공급 러브콜 쇄도 2027년 매출 2배 목표 포스코퓨처엠은 캐즘 일시적 수요정체  이후 미래 성장 가능성을 더욱 긍정적으로 보고 경영 포트폴리오를 다각화하고 있다. 엄기천 대표이사 사장은...",0.7142821
2025-03-25,에스엠," 리포트 브리핑 에스엠,  이제 불안감은 없다  목표가 130,000원 - 키움증권  서울 뉴스핌  로보뉴스   키움증권에서 25일 에스엠 041510 에 대해  이제 불안감은 없다 라며 투자의견  BUY 의 신규 리포트를 발행하였고,...",0.8931931
2025-03-25,HD현대일렉트릭,"HD현대일렉트릭,  과전압 방지  변압기 실물 첫 공개 한눈에 보는 오늘   홈 - 뉴스   HD현대일렉트릭 디스트리뷰테크 DISTRIBUTECH  2025  부스 조감도. /HD현대일렉트릭아시아투데이 김유라 기자   HD...",0.7173704
2025-03-25,두산우," 장중수급포착  두산우, 외국인 17,186주 대량 순매수... 주가 +6.00%   본문 글자 크기 조정 ...  서울 뉴스핌  로보뉴스   17일 10시 15분 현재 두산우 000155 는 외국인이 17,186주 대량으로 순매수 잠정  하면서 전일 대비...",0.8467962
2025-03-25,삼성화재우," 장중수급포착  삼성화재우, 외국인 5일 연속 순매수행진... 주가 +1.78%  서울 뉴스핌  로보뉴스   22일 10시 15분 현재 삼성화재우 000815 는 전일 대비 1.78%  현재가 286,000원  상승했고, 외국인이 최근 5일 연속...",0.8725314
2025-03-25,SK하이닉스,"프리마켓 데뷔날  SK하이닉스, 50주 거래에 시총 10조원  휘청  프리마켓 데뷔날 SK하이닉스, 50주 거래에 시총 10조원 휘청 넥스트레이스서 소수 거래로 주가 급등락 반복 대체거래소ATS 넥스트레이드가 거래 종목...",0.84566045
2025-03-25,어보브반도체," 특징주  어보브반도체 상승, SK하이닉스  HBM 이어 AI응용 분야 개발 앞장선다  어보브반도체 102120 의 주가가 상승하며 시장의 주목을 받고 있다.21일 한국거래소에 따르면 어보브반도체의 주가는 오전 9시 30분 기준 전일 대비...",0.7054551
2025-03-25,에코프로,"개인과 공매도 세력 힘겨루기 재연될까,  제2의 에코프로  후보 점치는 증권가  비즈니스포스트  공매도 전면 재개를 앞두고 증권가가 벌써부터  공매도 수혜주  후보군 추리기에 나섰다. 공매도 세력과 개인투자자 간의 공방전...",0.7820689
2025-03-25,포스코퓨처엠,"엄기천 포스코퓨처엠 사장, 완성차 제조사들의 공급 러브콜 쇄도 2027년 매출 2배 목표 포스코퓨처엠은 캐즘 일시적 수요정체  이후 미래 성장 가능성을 더욱 긍정적으로 보고 경영 포트폴리오를 다각화하고 있다. 엄기천 대표이사 사장은...",0.7142821
2025-03-25,에스엠," 리포트 브리핑 에스엠,  이제 불안감은 없다  목표가 130,000원 - 키움증권  서울 뉴스핌  로보뉴스   키움증권에서 25일 에스엠 041510 에 대해  이제 불안감은 없다 라며 투자의견  BUY 의 신규 리포트를 발행하였고,...",0.8931931
2025-03-25,HD현대일렉트릭,"HD현대일렉트릭,  과전압 방지  변압기 실물 첫 공개 한눈에 보는 오늘   홈 - 뉴스   HD현대일렉트릭 디스트리뷰테크 DISTRIBUTECH  2025  부스 조감도. /HD현대일렉트릭아시아투데이 김유라 기자   HD...",0.7173704
